Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by LGA (1YRS)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LGA (1YRS)","Alpine (S)","Ararat (RC)","Ballarat (C)","Banyule (C)","Bass Coast (S)","Baw Baw (S)","Bayside (C)","Benalla (RC)","Boroondara (C)","Brimbank (C)","Buloke (S)","Campaspe (S)","Cardinia (S)","Casey (C)","Central Goldfields (S)","Colac-Otway (S)","Corangamite (S)","Darebin (C)","East Gippsland (S)","Frankston (C)","Gannawarra (S)","Glen Eira (C)","Glenelg (S)","Golden Plains (S)","Greater Bendigo (C)","Greater Dandenong (C)","Greater Geelong (C)","Greater Shepparton (C)","Hepburn (S)","Hindmarsh (S)","Hobsons Bay (C)","Horsham (RC)","Hume (C)","Indigo (S)","Kingston (C)","Knox (C)","Latrobe (C)","Loddon (S)","Macedon Ranges (S)","Manningham (C)","Mansfield (S)","Maribyrnong (C)","Maroondah (C)","Melbourne (C)","Melton (C)","Mildura (RC)","Mitchell (S)","Moira (S)","Monash (C)","Moonee Valley (C)","Moorabool (S)","Moreland (C)","Mornington Peninsula (S)","Mount Alexander (S)","Moyne (S)","Murrindindi (S)","Nillumbik (S)","Northern Grampians (S)","Port Phillip (C)","Pyrenees (S)","Queenscliffe (B)","South Gippsland (S)","Southern Grampians (S)","Stonnington (C)","Strathbogie (S)","Surf Coast (S)","Swan Hill (RC)","Towong (S)","Wangaratta (RC)","Warrnambool (C)","Wellington (S)","West Wimmera (S)","Whitehorse (C)","Whittlesea (C)","Wodonga (C)","Wyndham (C)","Yarra (C)","Yarra Ranges (S)","Yarriambiack (S)","Capital City Undefined (Greater Melbourne)","Unincorporated Vic","No Usual Address (Vic.)","Migratory - Offshore - Shipping (Vic.)","State Undefined (Vic.)","Total",
"Latrobe (C)",3,5,18,9,37,383,11,3,27,10,0,4,107,145,9,3,0,14,103,68,0,14,14,0,24,52,24,17,0,0,13,7,26,0,35,42,62050,3,8,13,0,11,28,26,13,7,16,3,34,17,8,29,46,6,0,0,0,5,18,6,0,81,8,20,0,0,11,0,7,5,261,0,26,18,0,30,14,32,0,12,0,8,0,71,64175,
"Loddon (S)",0,0,0,0,0,0,0,0,0,0,3,7,4,10,18,0,3,0,0,6,3,0,0,0,76,0,5,8,0,0,3,0,5,0,4,3,0,6229,5,4,0,0,0,0,11,5,5,3,0,4,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,12,0,8,0,6,0,3,6502,
"Macedon Ranges (S)",4,0,11,54,0,0,15,15,42,100,3,9,14,27,8,3,0,105,0,5,0,27,0,0,75,3,22,7,51,0,85,4,344,0,10,9,0,0,39198,27,8,55,13,65,169,4,64,4,13,119,39,133,26,64,0,10,5,0,46,0,4,4,0,21,0,3,0,0,0,6,0,0,32,35,0,92,37,17,3,22,0,3,0,18,41433,
"Manningham (C)",3,0,11,365,5,0,13,0,773,76,0,5,17,84,0,0,0,232,13,26,0,65,0,3,8,53,40,10,0,0,45,0,81,0,74,173,13,0,9,99331,0,62,387,333,36,4,11,4,257,60,6,122,57,0,0,0,175,0,98,0,0,9,0,106,0,4,13,0,7,10,4,0,1291,267,13,83,171,141,0,30,5,5,0,41,105346,
"Mansfield (S)",4,0,5,14,0,0,13,11,19,0,0,0,9,15,0,0,3,11,4,9,0,9,0,0,7,4,56,13,0,0,11,0,8,0,3,18,4,0,8,15,6934,0,31,3,9,0,6,0,9,5,0,9,25,0,0,18,0,0,3,0,0,5,3,34,10,8,0,0,4,0,0,0,17,30,4,4,3,45,0,0,7,0,0,3,7508,
"Maribyrnong (C)",3,9,61,53,13,14,44,0,168,780,0,8,18,38,4,3,4,183,17,26,5,91,0,12,34,58,157,24,3,4,552,0,149,0,39,22,17,6,37,46,4,63291,36,849,171,15,13,15,87,683,15,461,30,15,0,0,20,5,329,3,0,7,8,177,7,24,16,3,9,4,10,0,79,97,12,363,299,38,0,22,0,13,0,39,69972,
"Maroondah (C)",0,0,19,95,21,14,20,0,305,24,0,10,52,123,0,0,0,92,14,72,0,69,0,4,33,67,37,15,4,0,19,0,24,0,63,971,12,0,5,845,0,40,92596,87,29,0,8,11,308,43,5,91,55,0,0,14,101,4,45,3,0,5,0,89,0,5,6,0,0,3,3,0,1323,93,3,63,71,1519,0,67,0,14,0,46,99816,
"Melbourne (C)",10,11,122,227,34,33,162,4,876,227,10,26,31,169,9,18,9,511,24,72,5,546,9,10,92,116,258,63,21,5,198,18,140,12,173,138,49,9,68,308,8,472,79,82930,98,27,46,23,711,712,17,933,117,11,6,10,72,8,948,4,4,16,18,859,8,48,11,0,14,25,24,0,468,143,14,326,1011,94,0,100,3,22,0,84,95362,
"Melton (C)",0,3,89,46,14,8,6,7,35,3138,0,19,20,86,16,4,8,107,9,33,4,28,6,8,55,82,117,36,21,5,212,5,433,0,38,21,18,5,77,14,0,274,19,129,111733,30,32,13,45,292,323,257,20,11,0,0,8,11,45,7,0,0,0,27,0,5,18,0,3,7,12,5,28,165,10,796,39,22,8,20,0,19,0,63,119334,
"Mildura (RC)",5,3,29,11,3,10,0,4,9,21,16,4,15,18,0,7,3,11,8,10,4,10,11,0,43,19,34,21,13,6,10,23,18,0,5,6,11,5,4,7,0,16,6,13,20,44942,5,5,10,15,0,9,17,0,5,0,3,0,10,3,0,7,10,13,0,0,98,0,0,13,0,4,24,17,0,20,10,16,22,0,0,21,0,97,45911,
